BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Burrows2015","Burrows, D.  Alex; Chen, Gang; Sun, Lantao","Barotropic and Baroclinic Eddy Feedbacks in the Midlatitude Jet Variability and Responses to Climate Change–Like Thermal Forcings","Journal of the Atmospheric Sciences",74,1,"jan","111--132",2017,"","","http://journals.ametsoc.org/doi/10.1175/JAS-D-16-0047.1","","","","","","","","","","","","","","","","",""
7,"","Chen2007a","Chen, Gang; Held, Isaac M.; Robinson, Walter A.","Sensitivity of the Latitude of the Surface Westerlies to Surface Friction","Journal of the Atmospheric Sciences",64,8,"aug","2899--2915",2007,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS3995.1","","","","","","","","","","","","From Duplicate 2 (Sensitivity of the Latitude of the Surface Westerlies to Surface Friction - Chen, Gang; Held, Isaac M.; Robinson, Walter A.) From Duplicate 2 ( Sensitivity of the Latitude of the Surface Westerlies to Surface Friction - Chen, Gang; Held, Isaac M.; Robinson, Walter A ) ","","","","",""
7,"","Chen2007b","Chen, Gang; Held, Isaac M.","Phase speed spectra and the recent poleward shift of Southern Hemisphere surface westerlies","Geophysical Research Letters",34,21,"nov","L21805",2007,"","","http://doi.wiley.com/10.1029/2007GL031200","","","","","","","","","","","","From Duplicate 2 ( Phase speed spectra and the recent poleward shift of Southern Hemisphere surface westerlies - Chen, Gang; Held, Isaac M. ) ","","","","",""
7,"","Chen2008","Chen, Gang; Lu, Jian; Frierson, Dargan M. W.","Phase Speed Spectra and the Latitude of Surface Westerlies: Interannual Variability and Global Warming Trend","Journal of Climate",21,22,"nov","5942--5959",2008,"","","http://journals.ametsoc.org/doi/abs/10.1175/2008JCLI2306.1","","","","","","","","","","","","From Duplicate 2 (Phase Speed Spectra and the Latitude of Surface Westerlies: Interannual Variability and Global Warming Trend - Chen, Gang; Lu, Jian; Frierson, Dargan M. W.) From Duplicate 1 ( Phase Speed Spectra and the Latitude of Surface Westerlies: Interannual Variability and Global Warming Trend - Chen, Gang; Lu, Jian; Frierson, Dargan M. W. ) And Duplicate 4 ( Response of the Zonal Mean Atmospheric Circulation to El Ni{\~{n}}o versus Global Warming - Lu, Jian; Chen, Gang; Frierson, Dargan M. W. ) ","","","","",""
7,"","Chen2008b","Chen, Gang; Zurita-Gotor, Pablo","The Tropospheric Jet Response to Prescribed Zonal Forcing in an Idealized Atmospheric Model","Journal of the Atmospheric Sciences",65,7,"jul","2254--2271",2008,"","","http://journals.ametsoc.org/doi/abs/10.1175/2007JAS2589.1","","","","","","","","","","","","From Duplicate 1 (The tropospheric jet response to prescribed zonal forcing in an idealized atmospheric model - Chen, Gang; Zurita-Gotor, Pablo) From Duplicate 2 ( The tropospheric jet response to prescribed zonal forcing in an idealized atmospheric model - Chen, Gang; Zurita-Gotor, Pablo ) ","","","","",""
7,"","Chen2009","Chen, Gang; Plumb, R. Alan","Quantifying the Eddy Feedback and the Persistence of the Zonal Index in an Idealized Atmospheric Model","Journal of the Atmospheric Sciences",66,12,"dec","3707--3720",2009,"","","http://journals.ametsoc.org/doi/abs/10.1175/2009JAS3165.1","","","","","","","","","","","","","","","","",""
7,"","Chen2010","Chen, Gang; Plumb, R. Alan; Lu, Jian","Sensitivities of zonal mean atmospheric circulation to SST warming in an aqua-planet model","Geophysical Research Letters",37,12,"jun","",2010,"","","http://www.agu.org/pubs/crossref/2010/2010GL043473.shtml","","","","","","","","","","","","in press","","","","",""
7,"","Chen2011","Chen, Gang; Ming, Yi; Singer, Noah D.; Lu, Jian","Testing the Clausius-Clapeyron constraint on the aerosol-induced changes in mean and extreme precipitation","Geophysical Research Letters",38,,"feb","L04807",2011,"","","http://www.agu.org/pubs/crossref/2011/2010GL046435.shtml","","","","","","","","","","","","","","","","",""
7,"","Chen2011c","Chen, Gang; Sun, Lantao","Mechanisms of the Tropical Upwelling Branch of the Brewer–Dobson Circulation: The Role of Extratropical Waves","Journal of the Atmospheric Sciences",68,12,"dec","2878--2892",2011,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-11-044.1","","","","","","","","","","","","","","","","",""
7,"","Chen2013c","Chen, Gang; Lu, Jian; Sun, Lantao","Delineating the Eddy–Zonal Flow Interaction in the Atmospheric Circulation Response to Climate Forcing: Uniform SST Warming in an Idealized Aquaplanet Model","Journal of the Atmospheric Sciences",70,7,"jul","2214--2233",2013,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-12-0248.1","","","","","","","","","","","","","","","","",""
